time_stamp_local,turbine_id,month,wind_speed,turbulence_intensity
2023-01-26 19:00:00,BHR-001,Jan,8.850777793460422,0.047229170224928924
2023-01-26 19:15:00,BHR-001,Jan,9.345999974144831,0.01969457111935837
2023-01-26 19:30:00,BHR-001,Jan,8.83666664653354,0.030164327160215998
2023-01-26 19:45:00,BHR-001,Jan,8.949666644202336,0.0239276954118824
2023-01-26 20:00:00,BHR-001,Jan,9.050777823130291,0.02580252675393132
2023-01-26 20:15:00,BHR-001,Jan,9.363555553224353,0.033947883092865574
2023-01-26 20:30:00,BHR-001,Jan,8.874777791765002,0.02936263402346574
2023-01-26 20:45:00,BHR-001,Jan,8.590444453557334,0.024124413595199092
2023-01-26 21:00:00,BHR-001,Jan,9.077222192552354,0.041501705934953614
2023-01-26 21:15:00,BHR-001,Jan,8.799666645261976,0.03696845904114337
2023-01-26 21:30:00,BHR-001,Jan,8.483888878822329,0.0563940175881073
2023-01-26 21:45:00,BHR-001,Jan,9.264777854283652,0.03028004763779202
2023-01-26 22:00:00,BHR-001,Jan,9.51566659927368,0.027058530796123102
2023-01-26 22:15:00,BHR-001,Jan,9.804999996821085,0.024630872988925637
2023-01-26 22:30:00,BHR-001,Jan,10.164777807659563,0.029938160843941977
2023-01-26 22:45:00,BHR-001,Jan,9.787555490069922,0.014722990218403181
2023-01-26 23:00:00,BHR-001,Jan,10.17555550045437,0.020687743222346282
2023-01-26 23:15:00,BHR-001,Jan,9.940222236845226,0.022619321944264272
2023-01-26 23:30:00,BHR-001,Jan,9.981333376566567,0.028189696650457667
2023-01-26 23:45:00,BHR-001,Jan,10.343666622373805,0.047372151809538104
2023-01-27 00:00:00,BHR-001,Jan,10.870222258037993,0.03839132658214838
2023-01-27 00:15:00,BHR-001,Jan,11.550111053254879,0.0353669697665316
2023-01-27 00:30:00,BHR-001,Jan,11.462222244474614,0.03625523287998824
2023-01-27 00:45:00,BHR-001,Jan,11.680444428126012,0.03401383131069247
2023-01-27 01:00:00,BHR-001,Jan,11.529444478352866,0.03908208561485263
2023-01-27 01:15:00,BHR-001,Jan,12.144222169452233,0.02965905661130011
2023-01-27 01:30:00,BHR-001,Jan,12.224444493187795,0.0226635359471784
2023-01-27 01:45:00,BHR-001,Jan,12.43799998495314,0.027057546262190087
2023-01-27 02:00:00,BHR-001,Jan,12.024444446563733,0.03167245613011549
2023-01-27 02:15:00,BHR-001,Jan,12.071555527581106,0.028629627698421405
